day,blob1_id,blob1_color,blob1_strategy,blob2_id,blob2_color,blob2_strategy,blob1_choice,blob2_choice,result
11,blue01,blue,random,green01,green,mirror,rock,paper,loss
11,blue02,blue,random,green02,green,mirror,rock,paper,loss
11,red01,red,dominant,green03,green,mirror,paper,paper,draw
11,blue03,blue,random,green04,green,mirror,rock,paper,loss
11,blue04,blue,random,green05,green,mirror,scissors,rock,loss
11,green06,green,mirror,red02,red,dominant,scissors,scissors,draw
11,green07,green,mirror,blue05,blue,random,paper,scissors,loss
11,blue06,blue,random,blue07,blue,random,paper,rock,win
11,green08,green,mirror,green09,green,mirror,rock,scissors,win
11,red03,red,dominant,green10,green,mirror,rock,paper,loss
11,black01,black,lstm,blue08,blue,random,rock,rock,draw
11,green11,green,mirror,green12,green,mirror,scissors,paper,win
11,blue09,blue,random,red04,red,dominant,rock,rock,draw
11,blue10,blue,random,green13,green,mirror,paper,paper,draw
11,red05,red,dominant,black02,black,lstm,paper,paper,draw
11,green14,green,mirror,green15,green,mirror,scissors,rock,loss
11,green16,green,mirror,blue11,blue,random,rock,paper,loss
11,green17,green,mirror,blue12,blue,random,scissors,paper,win
11,green18,green,mirror,green19,green,mirror,scissors,rock,loss
11,green20,green,mirror,blue13,blue,random,paper,rock,win
11,green21,green,mirror,black03,black,lstm,paper,scissors,loss
11,blue14,blue,random,green22,green,mirror,scissors,rock,loss
11,green23,green,mirror,green24,green,mirror,scissors,paper,win
11,red06,red,dominant,blue15,blue,random,rock,rock,draw
11,blue16,blue,random,green25,green,mirror,scissors,scissors,draw
11,red07,red,dominant,black04,black,lstm,rock,scissors,win
11,red08,red,dominant,green26,green,mirror,paper,paper,draw
11,black05,black,lstm,green27,green,mirror,paper,scissors,loss
11,green28,green,mirror,red09,red,dominant,rock,scissors,win
11,purple01,purple,rl,black06,black,lstm,rock,rock,draw
11,green29,green,mirror,blue17,blue,random,scissors,paper,win
11,green30,green,mirror,green31,green,mirror,scissors,rock,loss
11,green32,green,mirror,green33,green,mirror,paper,rock,win
11,blue18,blue,random,green34,green,mirror,scissors,scissors,draw
11,green35,green,mirror,black07,black,lstm,rock,scissors,win
11,green36,green,mirror,green37,green,mirror,scissors,rock,loss
11,blue19,blue,random,green38,green,mirror,rock,rock,draw
11,green39,green,mirror,green40,green,mirror,rock,paper,loss
11,red10,red,dominant,blue20,blue,random,paper,rock,win
11,green41,green,mirror,black08,black,lstm,paper,scissors,loss
11,green42,green,mirror,green43,green,mirror,rock,scissors,win
11,green44,green,mirror,blue21,blue,random,scissors,scissors,draw
11,blue22,blue,random,green45,green,mirror,rock,paper,loss
11,blue23,blue,random,blue24,blue,random,rock,rock,draw
11,green46,green,mirror,green47,green,mirror,paper,scissors,loss
11,blue25,blue,random,green48,green,mirror,paper,rock,win
11,red11,red,dominant,blue26,blue,random,paper,scissors,loss
12,red00,red,dominant,blue00,blue,random,rock,scissors,win
12,green00,green,mirror,purple00,purple,rl,paper,paper,draw
12,orange00,orange,mlp,black00,black,lstm,scissors,rock,loss
12,blue01,blue,random,green01,green,mirror,paper,paper,draw
12,blue02,blue,random,green02,green,mirror,paper,paper,draw
12,red01,red,dominant,green03,green,mirror,rock,paper,loss
12,blue03,blue,random,green04,green,mirror,rock,scissors,win
12,blue04,blue,random,green05,green,mirror,rock,scissors,win
12,green06,green,mirror,red02,red,dominant,scissors,paper,win
12,green07,green,mirror,blue05,blue,random,scissors,rock,loss
12,blue06,blue,random,blue07,blue,random,paper,rock,win
12,green08,green,mirror,green09,green,mirror,rock,scissors,win
12,red03,red,dominant,green10,green,mirror,rock,paper,loss
12,black01,black,lstm,blue08,blue,random,rock,scissors,win
12,green11,green,mirror,green12,green,mirror,scissors,paper,win
12,blue09,blue,random,red04,red,dominant,paper,rock,win
12,blue10,blue,random,green13,green,mirror,scissors,rock,loss
